name,version,license,homepage
"@alloc/quick-lru","5.2.0","MIT","https://github.com/sindresorhus/quick-lru#readme"
"@aws-crypto/crc32","5.2.0","Apache-2.0","https://github.com/aws/aws-sdk-js-crypto-helpers/tree/master/packages/crc32"
"@aws-crypto/crc32c","5.2.0","Apache-2.0","https://github.com/aws/aws-sdk-js-crypto-helpers/tree/master/packages/crc32c"
"@aws-crypto/sha1-browser","5.2.0","Apache-2.0","https://github.com/aws/aws-sdk-js-crypto-helpers/tree/master/packages/sha1-browser"
"@aws-crypto/sha256-browser","5.2.0","Apache-2.0","https://github.com/aws/aws-sdk-js-crypto-helpers/tree/master/packages/sha256-browser"
"@aws-crypto/sha256-js","5.2.0","Apache-2.0","https://github.com/aws/aws-sdk-js-crypto-helpers/tree/master/packages/sha256-js"
"@aws-crypto/supports-web-crypto","5.2.0","Apache-2.0","https://github.com/aws/aws-sdk-js-crypto-helpers/tree/master/packages/supports-web-crypto"
"@aws-crypto/util","5.2.0","Apache-2.0","https://github.com/aws/aws-sdk-js-crypto-helpers/tree/master/packages/util"
"@aws-sdk/client-s3","3.975.0","Apache-2.0","https://github.com/aws/aws-sdk-js-v3/tree/main/clients/client-s3"
"@aws-sdk/client-sso","3.975.0","Apache-2.0","https://github.com/aws/aws-sdk-js-v3/tree/main/clients/client-sso"
"@aws-sdk/core","3.972.0 / 3.973.3","Apache-2.0","https://github.com/aws/aws-sdk-js-v3/tree/main/packages-internal/core"
"@aws-sdk/crc64-nvme","3.972.0","Apache-2.0","https://github.com/aws/aws-sdk-js-v3/tree/main/packages/crc64-nvme"
"@aws-sdk/credential-provider-env","3.972.2","Apache-2.0","https://github.com/aws/aws-sdk-js-v3/tree/main/packages-internal/credential-provider-env"
"@aws-sdk/credential-provider-http","3.972.3","Apache-2.0","https://github.com/aws/aws-sdk-js-v3/tree/main/packages-internal/credential-provider-http"
"@aws-sdk/credential-provider-ini","3.972.2","Apache-2.0","https://github.com/aws/aws-sdk-js-v3/tree/main/packages-internal/credential-provider-ini"
"@aws-sdk/credential-provider-login","3.972.2","Apache-2.0","https://github.com/aws/aws-sdk-js-v3/tree/main/packages-internal/credential-provider-login"
